BBA: <1,10>; 
BIA: <1,5>; 
BID: <1,8>; 
BIC: <1,7>; 
BIF: <1,10>; 
BIE: <1,9>; 
BIH: <1,2>; 
BIG: <1,1>; 
BIJ: <1,4>; 
BII: <1,3>; 
BIL: <1,6>; 
BIK: <1,5>; 
BIN: <1,8>; 
BIM: <1,7>; 
BIP: <1,10>; 
BIO: <1,9>; 
BIR: <1,2>; 
BIQ: <1,1>; 
BIT: <1,4>; 
BIS: <1,3>; 
BIV: <1,6>; 
BIU: <1,5>; 
BIX: <1,8>; 
BIW: <1,7>; 
BIY: <1,9>; 
BJA: <1,10>; 
BJC: <1,2>; 
BJB: <1,1>; 
BJE: <1,4>; 
BJD: <1,3>; 
BJG: <1,6>; 
BJF: <1,5>; 
BJI: <1,8>; 
BJH: <1,7>; 
BJK: <1,10>; 
BJJ: <1,9>; 
BJM: <1,2>; 
BJL: <1,1>; 
BJO: <1,4>; 
BJN: <1,3>; 
BJQ: <1,6>; 
BJP: <1,5>; 
BJS: <1,8>; 
BJR: <1,7>; 
BJU: <1,10>; 
BJT: <1,9>; 
BJW: <1,2>; 
BJV: <1,1>; 
BJY: <1,4>; 
BJX: <1,3>; 
BKB: <1,6>; 
BKA: <1,5>; 
BKD: <1,8>; 
BKC: <1,7>; 
BKF: <1,10>; 
BKE: <1,9>; 
BKH: <1,2>; 
BKG: <1,1>; 
BKJ: <1,4>; 
BKI: <1,3>; 
BKL: <1,6>; 
BKK: <1,5>; 
BKN: <1,8>; 
BKM: <1,7>; 
BKP: <1,10>; 
BKO: <1,9>; 
BKR: <1,2>; 
BKQ: <1,1>; 
BKT: <1,4>; 
BKS: <1,3>; 
BKV: <1,6>; 
BKU: <1,5>; 
BKX: <1,8>; 
BKW: <1,7>; 
BKY: <1,9>; 
BLA: <1,10>; 
BLC: <1,2>; 
BLB: <1,1>; 
BLE: <1,4>; 
BLD: <1,3>; 
BLG: <1,6>; 
BLF: <1,5>; 
BLI: <1,8>; 
BLH: <1,7>; 
BLK: <1,10>; 
BLJ: <1,9>; 
BLM: <1,2>; 
BLL: <1,1>; 
BLO: <1,4>; 
BLN: <1,3>; 
BLQ: <1,6>; 
BLP: <1,5>; 
BLS: <1,8>; 
BLR: <1,7>; 
BLU: <1,10>; 
BLT: <1,9>; 
BLW: <1,2>; 
BLV: <1,1>; 
BLY: <1,4>; 
BLX: <1,3>; 
BMB: <1,6>; 
BMA: <1,5>; 
BMD: <1,8>; 
BMC: <1,7>; 
BMF: <1,10>; 
BME: <1,9>; 
BMH: <1,2>; 
BMG: <1,1>; 
BMJ: <1,4>; 
BMI: <1,3>; 
BML: <1,6>; 
BMK: <1,5>; 
BMN: <1,8>; 
BMM: <1,7>; 
BMP: <1,10>; 
BMO: <1,9>; 
BMR: <1,2>; 
BMQ: <1,1>; 
BMT: <1,4>; 
BMS: <1,3>; 
BMV: <1,6>; 
BMU: <1,5>; 
BMX: <1,8>; 
BMW: <1,7>; 
BMY: <1,9>; 
BNA: <1,10>; 
BNC: <1,2>; 
BNB: <1,1>; 
BNE: <1,4>; 
BND: <1,3>; 
BNG: <1,6>; 
BNF: <1,5>; 
BNI: <1,8>; 
BNH: <1,7>; 
BNK: <1,10>; 
BNJ: <1,9>; 
BNM: <1,2>; 
BNL: <1,1>; 
BNO: <1,4>; 
BNN: <1,3>; 
BNQ: <1,6>; 
BNP: <1,5>; 
BNS: <1,8>; 
BNR: <1,7>; 
BNU: <1,10>; 
BNT: <1,9>; 
BNW: <1,2>; 
BNV: <1,1>; 
BNY: <1,4>; 
BNX: <1,3>; 
BOB: <1,6>; 
BOA: <1,5>; 
BOD: <1,8>; 
BOC: <1,7>; 
BOF: <1,10>; 
BOE: <1,9>; 
BOH: <1,2>; 
BOG: <1,1>; 
BOJ: <1,4>; 
BOI: <1,3>; 
BOL: <1,6>; 
BOK: <1,5>; 
BON: <1,8>; 
BOM: <1,7>; 
BOP: <1,10>; 
BOO: <1,9>; 
BOR: <1,2>; 
BOQ: <1,1>; 
BOT: <1,4>; 
BOS: <1,3>; 
BOV: <1,6>; 
BOU: <1,5>; 
BOX: <1,8>; 
BOW: <1,7>; 
BOY: <1,9>; 
BPA: <1,10>; 
BPC: <2,2>; 
BPB: <2,1>; 
BPE: <2,4>; 
BPD: <2,3>; 
BPG: <2,6>; 
BPF: <2,5>; 
BPI: <2,8>; 
BPH: <2,7>; 
BPK: <2,10>; 
BPJ: <2,9>; 
BPM: <2,2>; 
BPL: <2,1>; 
BPO: <2,4>; 
BPN: <2,3>; 
BPQ: <2,6>; 
BPP: <2,5>; 
BPS: <2,8>; 
BPR: <2,7>; 
BPU: <2,10>; 
BPT: <2,9>; 
BPW: <2,2>; 
BPV: <2,1>; 
BPY: <2,4>; 
BPX: <2,3>; 
BQB: <2,6>; 
BQA: <2,5>; 
BQD: <2,8>; 
BQC: <2,7>; 
BQF: <2,10>; 
BQE: <2,9>; 
BQH: <2,2>; 
BQG: <2,1>; 
BQJ: <2,4>; 
BQI: <2,3>; 
BQL: <2,6>; 
BQK: <2,5>; 
BQN: <2,8>; 
BQM: <2,7>; 
BQP: <2,10>; 
BQO: <2,9>; 
BQR: <2,2>; 
BQQ: <2,1>; 
BQT: <2,4>; 
BQS: <2,3>; 
BQV: <2,6>; 
BQU: <2,5>; 
BQX: <2,8>; 
BQW: <2,7>; 
BQY: <2,9>; 
BRA: <2,10>; 
BRC: <2,2>; 
BRB: <2,1>; 
BRE: <2,4>; 
BRD: <2,3>; 
BRG: <2,6>; 
BRF: <2,5>; 
BRI: <2,8>; 
BRH: <2,7>; 
BRK: <2,10>; 
BRJ: <2,9>; 
BRM: <2,2>; 
BRL: <2,1>; 
BRO: <2,4>; 
BRN: <2,3>; 
BRQ: <2,6>; 
BRP: <2,5>; 
BRS: <2,8>; 
BRR: <2,7>; 
BRU: <2,10>; 
BRT: <2,9>; 
BRW: <2,2>; 
BRV: <2,1>; 
BRY: <2,4>; 
BRX: <2,3>; 
BSB: <2,6>; 
BSA: <2,5>; 
BSD: <2,8>; 
BSC: <2,7>; 
BSF: <2,10>; 
BSE: <2,9>; 
BSH: <2,2>; 
BSG: <2,1>; 
BSJ: <2,4>; 
BSI: <2,3>; 
BSL: <2,6>; 
BSK: <2,5>; 
BSN: <2,8>; 
BSM: <2,7>; 
BSP: <2,10>; 
BSO: <2,9>; 
BSR: <2,2>; 
BSQ: <2,1>; 
BST: <2,4>; 
BSS: <2,3>; 
BSV: <2,6>; 
BSU: <2,5>; 
BSX: <2,8>; 
BSW: <2,7>; 
BSY: <2,9>; 
BTA: <2,10>; 
BTC: <2,2>; 
BTB: <2,1>; 
BTE: <2,4>; 
BTD: <2,3>; 
BTG: <2,6>; 
BTF: <2,5>; 
BTI: <2,8>; 
BTH: <2,7>; 
BTK: <2,10>; 
BTJ: <2,9>; 
BTM: <2,2>; 
BTL: <2,1>; 
BTO: <2,4>; 
BTN: <2,3>; 
BTQ: <2,6>; 
BTP: <2,5>; 
BTS: <2,8>; 
BTR: <2,7>; 
BTU: <2,10>; 
BTT: <2,9>; 
BTW: <2,2>; 
BTV: <2,1>; 
BTY: <2,4>; 
BTX: <2,3>; 
BUB: <2,6>; 
BUA: <2,5>; 
BUD: <2,8>; 
BUC: <2,7>; 
BUF: <2,10>; 
BUE: <2,9>; 
BUH: <2,2>; 
BUG: <2,1>; 
BUJ: <2,4>; 
BUI: <2,3>; 
BUL: <2,6>; 
BUK: <2,5>; 
BUN: <2,8>; 
BUM: <2,7>; 
BUP: <2,10>; 
BUO: <2,9>; 
BUR: <2,2>; 
BUQ: <2,1>; 
BUT: <2,4>; 
BUS: <2,3>; 
BUV: <2,6>; 
BUU: <2,5>; 
BUX: <2,8>; 
BUW: <2,7>; 
BUY: <2,9>; 
BVA: <2,10>; 
BVC: <2,2>; 
BVB: <2,1>; 
BVE: <2,4>; 
BVD: <2,3>; 
BVG: <2,6>; 
BVF: <2,5>; 
BVI: <2,8>; 
BVH: <2,7>; 
BVK: <2,10>; 
BVJ: <2,9>; 
BVM: <2,2>; 
BVL: <2,1>; 
BVO: <2,4>; 
BVN: <2,3>; 
BVQ: <2,6>; 
BVP: <2,5>; 
BVS: <2,8>; 
BVR: <2,7>; 
BVU: <2,10>; 
BVT: <2,9>; 
BVW: <2,2>; 
BVV: <2,1>; 
BVY: <2,4>; 
BVX: <2,3>; 
BWB: <2,6>; 
BWA: <2,5>; 
BWD: <2,8>; 
BWC: <2,7>; 
BWF: <2,10>; 
BWE: <2,9>; 
BWH: <2,2>; 
BWG: <2,1>; 
BWJ: <2,4>; 
BWI: <2,3>; 
BWL: <2,6>; 
BWK: <2,5>; 
BWN: <2,8>; 
BWM: <2,7>; 
BWP: <2,10>; 
BWO: <2,9>; 
BWR: <2,2>; 
BWQ: <2,1>; 
BWT: <2,4>; 
BWS: <2,3>; 
BWV: <2,6>; 
BWU: <2,5>; 
BWX: <2,8>; 
BWW: <2,7>; 
BWY: <2,9>; 
BXA: <2,10>; 
BXC: <2,2>; 
BXB: <2,1>; 
BXE: <2,4>; 
BXD: <2,3>; 
BXG: <2,6>; 
BXF: <2,5>; 
BXI: <2,8>; 
BXH: <2,7>; 
BXK: <2,10>; 
BXJ: <2,9>; 
BXM: <2,2>; 
BXL: <2,1>; 
BXO: <2,4>; 
BXN: <2,3>; 
BXQ: <2,6>; 
BXP: <2,5>; 
BXS: <2,8>; 
BXR: <2,7>; 
BXU: <2,10>; 
BXT: <2,9>; 
BXW: <2,2>; 
BXV: <2,1>; 
BXY: <2,4>; 
BXX: <2,3>; 
BYB: <2,6>; 
BYA: <2,5>; 
BYD: <2,8>; 
BYC: <2,7>; 
BYF: <2,10>; 
BYE: <2,9>; 
BYH: <2,2>; 
BYG: <2,1>; 
BYJ: <2,4>; 
BYI: <2,3>; 
BYL: <2,6>; 
BYK: <2,5>; 
BYN: <2,8>; 
BYM: <2,7>; 
BYP: <2,10>; 
BYO: <2,9>; 
BYR: <2,2>; 
BYQ: <2,1>; 
BYT: <2,4>; 
BYS: <2,3>; 
BYV: <2,6>; 
BYU: <2,5>; 
BYX: <2,8>; 
BYW: <2,7>; 
BYY: <2,9>; 
CAA: <2,10>; 
CAC: <2,2>; 
CAB: <2,1>; 
CAE: <2,4>; 
CAD: <2,3>; 
CAG: <2,6>; 
CAF: <2,5>; 
CAI: <2,8>; 
CAH: <2,7>; 
CAK: <2,10>; 
CAJ: <2,9>; 
CAM: <2,2>; 
CAL: <2,1>; 
CAO: <2,4>; 
CAN: <2,3>; 
CAQ: <2,6>; 
CAP: <2,5>; 
CAS: <2,8>; 
CAR: <2,7>; 
CAU: <2,10>; 
CAT: <2,9>; 
CAW: <2,2>; 
CAV: <2,1>; 
CAY: <2,4>; 
CAX: <2,3>; 
CBB: <2,6>; 
CBA: <2,5>; 
CBD: <2,8>; 
CBC: <2,7>; 
CBF: <2,10>; 
CBE: <2,9>; 
CBH: <2,2>; 
CBG: <2,1>; 
CBJ: <2,4>; 
CBI: <2,3>; 
CBL: <2,6>; 
CBK: <2,5>; 
CBN: <2,8>; 
CBM: <2,7>; 
CBP: <2,10>; 
CBO: <2,9>; 
CBR: <2,2>; 
CBQ: <2,1>; 
CBT: <2,4>; 
CBS: <2,3>; 
CBV: <2,6>; 
CBU: <2,5>; 
CBX: <2,8>; 
CBW: <2,7>; 
CBY: <2,9>; 
CCA: <2,10>; 
CCC: <2,2>; 
CCB: <2,1>; 
CCE: <2,4>; 
CCD: <2,3>; 
CCG: <2,6>; 
CCF: <2,5>; 
CCI: <2,8>; 
CCH: <2,7>; 
CCK: <2,10>; 
CCJ: <2,9>; 
CCM: <2,2>; 
CCL: <2,1>; 
CCO: <2,4>; 
CCN: <2,3>; 
CCQ: <2,6>; 
CCP: <2,5>; 
CCS: <2,8>; 
CCR: <2,7>; 
CCU: <2,10>; 
CCT: <2,9>; 
CCW: <2,2>; 
CCV: <2,1>; 
CCY: <2,4>; 
CCX: <2,3>; 
CDB: <2,6>; 
CDA: <2,5>; 
CDD: <2,8>; 
CDC: <2,7>; 
CDF: <2,10>; 
CDE: <2,9>; 
CDH: <2,2>; 
CDG: <2,1>; 
CDJ: <2,4>; 
CDI: <2,3>; 
CDL: <2,6>; 
CDK: <2,5>; 
CDN: <2,8>; 
CDM: <2,7>; 
CDP: <2,10>; 
CDO: <2,9>; 
CDR: <2,2>; 
CDQ: <2,1>; 
CDT: <2,4>; 
CDS: <2,3>; 
CDV: <2,6>; 
CDU: <2,5>; 
CDX: <2,8>; 
CDW: <2,7>; 
CDY: <2,9>; 
CEA: <2,10>; 
CEC: <2,2>; 
CEB: <2,1>; 
CEE: <2,4>; 
CED: <2,3>; 
CEG: <2,6>; 
CEF: <2,5>; 
CEI: <2,8>; 
CEH: <2,7>; 
CEK: <2,10>; 
CEJ: <2,9>; 
CEM: <2,2>; 
CEL: <2,1>; 
CEO: <2,4>; 
CEN: <2,3>; 
CEQ: <2,6>; 
CEP: <2,5>; 
CES: <2,8>; 
CER: <2,7>; 
CEU: <2,10>; 
CET: <2,9>; 
CEW: <2,2>; 
CEV: <2,1>; 
CEY: <2,4>; 
CEX: <2,3>; 
CFB: <2,6>; 
CFA: <2,5>; 
CFD: <2,8>; 
CFC: <2,7>; 
CFF: <2,10>; 
CFE: <2,9>; 
CFH: <2,2>; 
CFG: <2,1>; 
CFJ: <2,4>; 
CFI: <2,3>; 
CFL: <2,6>; 
CFK: <2,5>; 
CFN: <2,8>; 
CFM: <2,7>; 
CFP: <2,10>; 
CFO: <2,9>; 
CFR: <2,2>; 
CFQ: <2,1>; 
CFT: <2,4>; 
CFS: <2,3>; 
CFV: <2,6>; 
CFU: <2,5>; 
CFX: <2,8>; 
CFW: <2,7>; 
CFY: <2,9>; 
CGA: <2,10>; 
CGC: <2,2>; 
CGB: <2,1>; 
CGE: <2,4>; 
CGD: <2,3>; 
CGG: <2,6>; 
CGF: <2,5>; 
CGI: <2,8>; 
CGH: <2,7>; 
CGK: <2,10>; 
CGJ: <2,9>; 
CGM: <2,2>; 
CGL: <2,1>; 
CGO: <2,4>; 
CGN: <2,3>; 
CGQ: <2,6>; 
CGP: <2,5>; 
CGS: <2,8>; 
CGR: <2,7>; 
CGU: <2,10>; 
CGT: <2,9>; 
CGW: <2,2>; 
CGV: <2,1>; 
CGY: <2,4>; 
CGX: <2,3>; 
CHB: <2,6>; 
CHA: <2,5>; 
CHD: <2,8>; 
CHC: <2,7>; 
CHF: <2,10>; 
CHE: <2,9>; 
CHH: <2,2>; 
CHG: <2,1>; 
CHJ: <2,4>; 
CHI: <2,3>; 
CHL: <2,6>; 
CHK: <2,5>; 
CHN: <2,8>; 
CHM: <2,7>; 
CHP: <2,10>; 
CHO: <2,9>; 
CHR: <2,2>; 
CHQ: <2,1>; 
CHT: <2,4>; 
CHS: <2,3>; 
CHV: <2,6>; 
CHU: <2,5>; 
CHX: <2,8>; 
CHW: <2,7>; 
CHY: <2,9>; 
CIA: <2,10>; 
CIC: <2,2>; 
CIB: <2,1>; 
CIE: <2,4>; 
CID: <2,3>; 
CIG: <2,6>; 
CIF: <2,5>; 
CII: <2,8>; 
CIH: <2,7>; 
CIK: <2,10>; 
CIJ: <2,9>; 
CIM: <2,2>; 
CIL: <2,1>; 
CIO: <2,4>; 
CIN: <2,3>; 
CIQ: <2,6>; 
CIP: <2,5>; 
CIS: <2,8>; 
CIR: <2,7>; 
CIU: <2,10>; 
CIT: <2,9>; 
CIW: <2,2>; 
CIV: <2,1>; 
CIY: <2,4>; 
CIX: <2,3>; 
CJB: <2,6>; 
CJA: <2,5>; 
CJD: <2,8>; 
CJC: <2,7>; 
CJF: <2,10>; 
CJE: <2,9>; 
CJH: <2,2>; 
CJG: <2,1>; 
CJJ: <2,4>; 
CJI: <2,3>; 
CJL: <2,6>; 
CJK: <2,5>; 
CJN: <2,8>; 
CJM: <2,7>; 
CJP: <2,10>; 
CJO: <2,9>; 
CJR: <2,2>; 
CJQ: <2,1>; 
CJT: <2,4>; 
CJS: <2,3>; 
CJV: <2,6>; 
CJU: <2,5>; 
CJX: <2,8>; 
CJW: <2,7>; 
CJY: <2,9>; 
CKA: <2,10>; 
CKC: <3,2>; 
CKB: <3,1>; 
CKE: <3,4>; 
CKD: <3,3>; 
CKG: <3,6>; 
CKF: <3,5>; 
CKI: <3,8>; 
CKH: <3,7>; 
CKK: <3,10>; 
CKJ: <3,9>; 
CKM: <3,2>; 
CKL: <3,1>; 
CKO: <3,4>; 
CKN: <3,3>; 
CKQ: <3,6>; 
CKP: <3,5>; 
CKS: <3,8>; 
CKR: <3,7>; 
CKU: <3,10>; 
CKT: <3,9>; 
CKW: <3,2>; 
CKV: <3,1>; 
CKY: <3,4>; 
CKX: <3,3>; 
CLB: <3,6>; 
CLA: <3,5>; 
CLD: <3,8>; 
CLC: <3,7>; 
CLF: <3,10>; 
CLE: <3,9>; 
CLH: <3,2>; 
CLG: <3,1>; 
CLJ: <3,4>; 
CLI: <3,3>; 
CLL: <3,6>; 
CLK: <3,5>; 
CLN: <3,8>; 
CLM: <3,7>; 
CLP: <3,10>; 
CLO: <3,9>; 
CLR: <3,2>; 
CLQ: <3,1>; 
CLT: <3,4>; 
CLS: <3,3>; 
CLV: <3,6>; 
CLU: <3,5>; 
CLX: <3,8>; 
CLW: <3,7>; 
CLY: <3,9>; 
CMA: <3,10>; 
CMC: <3,2>; 
CMB: <3,1>; 
CME: <3,4>; 
CMD: <3,3>; 
CMG: <3,6>; 
CMF: <3,5>; 
CMI: <3,8>; 
CMH: <3,7>; 
CMK: <3,10>; 
CMJ: <3,9>; 
CMM: <3,2>; 
CML: <3,1>; 
CMO: <3,4>; 
CMN: <3,3>; 
CMQ: <3,6>; 
CMP: <3,5>; 
CMS: <3,8>; 
CMR: <3,7>; 
CMU: <3,10>; 
CMT: <3,9>; 
CMW: <3,2>; 
CMV: <3,1>; 
CMY: <3,4>; 
CMX: <3,3>; 
CNB: <3,6>; 
CNA: <3,5>; 
CND: <3,8>; 
CNC: <3,7>; 
CNF: <3,10>; 
CNE: <3,9>; 
CNH: <3,2>; 
CNG: <3,1>; 
CNJ: <3,4>; 
CNI: <3,3>; 
CNL: <3,6>; 
CNK: <3,5>; 
CNN: <3,8>; 
CNM: <3,7>; 
CNP: <3,10>; 
CNO: <3,9>; 
CNR: <3,2>; 
CNQ: <3,1>; 
CNT: <3,4>; 
CNS: <3,3>; 
CNV: <3,6>; 
CNU: <3,5>; 
CNX: <3,8>; 
CNW: <3,7>; 
CNY: <3,9>; 
COA: <3,10>; 
COC: <3,2>; 
COB: <3,1>; 
COE: <3,4>; 
COD: <3,3>; 
COG: <3,6>; 
COF: <3,5>; 
COI: <3,8>; 
COH: <3,7>; 
COK: <3,10>; 
COJ: <3,9>; 
COM: <3,2>; 
COL: <3,1>; 
COO: <3,4>; 
CON: <3,3>; 
COQ: <3,6>; 
COP: <3,5>; 
COS: <3,8>; 
COR: <3,7>; 
COU: <3,10>; 
COT: <3,9>; 
COW: <3,2>; 
COV: <3,1>; 
COY: <3,4>; 
COX: <3,3>; 
CPB: <3,6>; 
CPA: <3,5>; 
CPD: <3,8>; 
CPC: <3,7>; 
CPF: <3,10>; 
CPE: <3,9>; 
CPH: <3,2>; 
CPG: <3,1>; 
CPJ: <3,4>; 
CPI: <3,3>; 
CPL: <3,6>; 
CPK: <3,5>; 
CPN: <3,8>; 
CPM: <3,7>; 
CPP: <3,10>; 
CPO: <3,9>; 
CPR: <3,2>; 
CPQ: <3,1>; 
CPT: <3,4>; 
CPS: <3,3>; 
CPV: <3,6>; 
CPU: <3,5>; 
CPX: <3,8>; 
CPW: <3,7>; 
CPY: <3,9>; 
CQA: <3,10>; 
CQC: <3,2>; 
CQB: <3,1>; 
CQE: <3,4>; 
CQD: <3,3>; 
CQG: <3,6>; 
CQF: <3,5>; 
CQI: <3,8>; 
CQH: <3,7>; 
CQK: <3,10>; 
CQJ: <3,9>; 
CQM: <3,2>; 
CQL: <3,1>; 
CQO: <3,4>; 
CQN: <3,3>; 
CQQ: <3,6>; 
CQP: <3,5>; 
CQS: <3,8>; 
CQR: <3,7>; 
CQU: <3,10>; 
CQT: <3,9>; 
CQW: <3,2>; 
CQV: <3,1>; 
CQY: <3,4>; 
CQX: <3,3>; 
CRB: <3,6>; 
CRA: <3,5>; 
CRD: <3,8>; 
CRC: <3,7>; 
CRF: <3,10>; 
CRE: <3,9>; 
CRH: <3,2>; 
CRG: <3,1>; 
CRJ: <3,4>; 
CRI: <3,3>; 
CRL: <3,6>; 
CRK: <3,5>; 
CRN: <3,8>; 
CRM: <3,7>; 
CRP: <3,10>; 
CRO: <3,9>; 
CRR: <3,2>; 
CRQ: <3,1>; 
CRT: <3,4>; 
CRS: <3,3>; 
CRV: <3,6>; 
CRU: <3,5>; 
CRX: <3,8>; 
CRW: <3,7>; 
CRY: <3,9>; 
CSA: <3,10>; 
CSC: <3,2>; 
CSB: <3,1>; 
CSE: <3,4>; 
CSD: <3,3>; 
CSG: <3,6>; 
CSF: <3,5>; 
CSI: <3,8>; 
CSH: <3,7>; 
CSK: <3,10>; 
CSJ: <3,9>; 
CSM: <3,2>; 
CSL: <3,1>; 
CSO: <3,4>; 
CSN: <3,3>; 
CSQ: <3,6>; 
CSP: <3,5>; 
CSS: <3,8>; 
CSR: <3,7>; 
CSU: <3,10>; 
CST: <3,9>; 
CSW: <3,2>; 
CSV: <3,1>; 
CSY: <3,4>; 
CSX: <3,3>; 
CTB: <3,6>; 
CTA: <3,5>; 
CTD: <3,8>; 
CTC: <3,7>; 
CTF: <3,10>; 
CTE: <3,9>; 
CTH: <3,2>; 
CTG: <3,1>; 
CTJ: <3,4>; 
CTI: <3,3>; 
CTL: <3,6>; 
CTK: <3,5>; 
CTN: <3,8>; 
CTM: <3,7>; 
CTP: <3,10>; 
CTO: <3,9>; 
CTR: <3,2>; 
CTQ: <3,1>; 
CTT: <3,4>; 
CTS: <3,3>; 
CTV: <3,6>; 
CTU: <3,5>; 
CTX: <3,8>; 
CTW: <3,7>; 
CTY: <3,9>; 
CUA: <3,10>; 
CUC: <3,2>; 
CUB: <3,1>; 
CUE: <3,4>; 
CUD: <3,3>; 
CUG: <3,6>; 
CUF: <3,5>; 
CUI: <3,8>; 
CUH: <3,7>; 
CUK: <3,10>; 
CUJ: <3,9>; 
CUM: <3,2>; 
CUL: <3,1>; 
CUO: <3,4>; 
CUN: <3,3>; 
CUQ: <3,6>; 
CUP: <3,5>; 
CUS: <3,8>; 
CUR: <3,7>; 
CUU: <3,10>; 
CUT: <3,9>; 
CUW: <3,2>; 
CUV: <3,1>; 
CUY: <3,4>; 
CUX: <3,3>; 
CVB: <3,6>; 
CVA: <3,5>; 
CVD: <3,8>; 
CVC: <3,7>; 
CVF: <3,10>; 
CVE: <3,9>; 
CVH: <3,2>; 
CVG: <3,1>; 
CVJ: <3,4>; 
CVI: <3,3>; 
CVL: <3,6>; 
CVK: <3,5>; 
CVN: <3,8>; 
CVM: <3,7>; 
CVP: <3,10>; 
CVO: <3,9>; 
CVR: <3,2>; 
CVQ: <3,1>; 
CVT: <3,4>; 
CVS: <3,3>; 
CVV: <3,6>; 
CVU: <3,5>; 
CVX: <3,8>; 
CVW: <3,7>; 
CVY: <3,9>; 
CWA: <3,10>; 
CWC: <3,2>; 
CWB: <3,1>; 
CWE: <3,4>; 
CWD: <3,3>; 
CWG: <3,6>; 
CWF: <3,5>; 
CWI: <3,8>; 
CWH: <3,7>; 
CWK: <3,10>; 
CWJ: <3,9>; 
